Product,Price,Payment_Type,Name,City,State,Country
TV,1200,Mastercard,carolina,Basildon,England,United Kingdom
TV,1200,Visa,Betina,Parkville                   ,MO,United States
TV,1200,Mastercard,Federica e Andrea,Astoria                     ,OR,United States
TV,1200,Visa,Gouya,Echuca,Victoria,Australia
Laptop,3600,Visa,Gerd W ,Cahaba Heights              ,AL,United States
TV,1200,Visa,LAURENCE,Mickleton                   ,NJ,United States
TV,1200,Mastercard,Fleur,Peoria                      ,IL,United States
TV,1200,Mastercard,adam,Martin                      ,TN,United States
TV,1200,Mastercard,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel
TV,1200,Visa,Aidan,Chatou,Ile-de-France,France
TV,1200,Diners,Stacy,New York                    ,NY,United States
TV,1200,Amex,Heidi,Eindhoven,Noord-Brabant,Netherlands
TV,1200,Mastercard,Sean ,Shavano Park                ,TX,United States
TV,1200,Visa,Georgia,Eagle                       ,ID,United States
TV,1200,Visa,Richard,Riverside                   ,NJ,United States
TV,1200,Diners,Leanne,Julianstown,Meath,Ireland
TV,1200,Visa,Janet,Ottawa,Ontario,Canada
TV,1200,Diners,barbara,Hyderabad,Andhra Pradesh,India
Laptop,3600,Visa,Sabine,London,England,United Kingdom
TV,1200,Diners,Hani,Salt Lake City              ,UT,United States
TV,1200,Visa,Jeremy,Manchester,England,United Kingdom
TV,1200,Diners,Janis,Ballynora,Cork,Ireland
TV,1200,Mastercard,Nicola,Roodepoort,Gauteng,South Africa
TV,1200,Visa,asuman,Chula Vista                 ,CA,United States
TV,1200,Mastercard,Lena,Kuopio,Ita-Suomen Laani,Finland
TV,1200,Visa,Lisa,Sugar Land                  ,TX,United States
TV,1200,Diners,Bryan Kerrene,New York                    ,NY,United States
TV,1200,Visa,chris,London,England,United Kingdom
TV,1200,Visa,Maxine,Morton                      ,IL,United States
TV,1200,Visa,Family,Los Gatos                   ,CA,United States
TV,1200,Mastercard,Katherine,New York                    ,NY,United States
TV,1200,Mastercard,Linda,Miami                       ,FL,United States
TV,1200,Mastercard,SYLVIA,Vesenaz,Geneve,Switzerland
TV,1200,Diners,Sheila,Brooklyn                    ,NY,United States
TV,1200,Mastercard,Stephanie,Badhoevedorp,Noord-Holland,Netherlands
TV,1200,Amex,Kelly,Reston                      ,VA,United States
Laptop,3600,Visa,James,Burpengary,Queensland,Australia
TV,1200,Visa,jennifer,Phoenix                     ,AZ,United States
TV,1200,Mastercard,Anneli,Houston                     ,TX,United States
Laptop,3600,Amex,Ritz,Pittsfield                  ,VT,United States
Laptop,3600,Amex,Sylvia,Pittsfield                  ,VT,United States
TV,1200,Mastercard,Marie,Ball Ground                 ,GA,United States
TV,1200,Visa,Mehmet Fatih,Helsingor,Frederiksborg,Denmark
Laptop,3600,Visa,Anabela,Flossmoor                   ,IL,United States
TV,1200,Amex,Nicole,Houston                     ,TX,United States
Laptop,3600,Visa,Christiane ,Delray Beach                ,FL,United States
TV,1200,Mastercard,Sari,Newbury,England,United Kingdom
TV,1200,Mastercard,simone,Kobenhavn,Kobenhavn,Denmark
TV,1200,Amex,Vanessa,Sandy Springs               ,GA,United States
TV,1200,Diners,Anupam,Kinsaley,Dublin,Ireland
TV,1200,Visa,Karina,Fort Lauderdale             ,FL,United States
